"","strategy_free_ans","high_low_verbal","talk_out_loud","worker_id","n","experiment"
"332","no","low_verbal","Yes","mZqk099M",24,"phon_sim"
"333","no","low_verbal","Yes","OE580Gi8",24,"phon_sim"
"334","No","high_verbal","Yes","sZLRQDIR",23,"phon_sim"
"335","No","low_verbal","Yes","TFWelN7f",24,"phon_sim"
"336","no_answer","high_verbal","No","RlmJUu78",24,"phon_sim"
"337","no_answer","high_verbal","Yes","BfCux7Qy",24,"phon_sim"
"338","no_answer","high_verbal","Yes","bj3SfFHq",24,"phon_sim"
"339","no_answer","high_verbal","Yes","IbadRTNw",24,"phon_sim"
"340","no_answer","high_verbal","Yes","IMlP20yi",24,"phon_sim"
"341","no_answer","high_verbal","Yes","ts7nbQkN",24,"phon_sim"
"342","no_answer","high_verbal","Yes","WewWn58j",24,"phon_sim"
"343","no_answer","low_verbal","No","0CxunTLR",24,"phon_sim"
"344","no_answer","low_verbal","No","1hM1LUCj",21,"phon_sim"
"345","no_answer","low_verbal","No","8yyEgSuX",14,"phon_sim"
"346","no_answer","low_verbal","No","pylKRwzb",17,"phon_sim"
"347","no_answer","low_verbal","No","zzU1ectZ",24,"phon_sim"
"348","no_answer","low_verbal","Yes","05Wo9IGy",24,"phon_sim"
"349","no_answer","low_verbal","Yes","fbKqS6qy",23,"phon_sim"
"350","no_answer","low_verbal","Yes","LyXqRZhM",24,"phon_sim"
"351","no_answer","low_verbal","Yes","OwZfp5qv",24,"phon_sim"
"352","no_answer","low_verbal","Yes","ozMU0TCL",24,"phon_sim"
"353","no_answer","low_verbal","Yes","xa4C6HC1",24,"phon_sim"
"354","No, my main strategy was to say them out loud.","low_verbal","Yes","Ds5BnIYz",24,"phon_sim"
"355","No.","low_verbal","No","rdIExOr9",24,"phon_sim"
"356","none","high_verbal","Yes","DuDDHkI9",24,"phon_sim"
"357","none","low_verbal","Yes","3DHBLnqj",24,"phon_sim"
"358","nothing","high_verbal","Yes","lcQfoynH",24,"phon_sim"
"359","Nothing to add","high_verbal","No","mHkNNA58",23,"phon_sim"
"360","Remembering the first letter of each word","low_verbal","No","8Mnv01S8",23,"phon_sim"
"361","repeating each word to myself","high_verbal","Yes","y1Ud0IvQ",23,"phon_sim"
"362","said it in my head","high_verbal","No","RHqN8QGm",24,"phon_sim"
"363","Sometimes I would just try to remember the first letter of the words because the endings of the words sounded the same.","low_verbal","Yes","0X9nY8Ym",24,"phon_sim"
"364","sometimes i'd imagine scenes with the words for example: I'd imagine someone coughing while kneading dough roughly","low_verbal","Yes","4KFmznfv",24,"phon_sim"
"365","that got really boring after like 4 trials and my mind wandered","high_verbal","Yes","yduNAfJN",22,"phon_sim"
"366","that was impossible","low_verbal","No","fX6rWWkd",24,"phon_sim"
"367","The words with friend/plea/row were much easier to remeber because it was easier to form a mental story even if the order changed. I tried to use my hands and body to gesture things like ""row"" and ""plea""","high_verbal","Yes","U8Rxi9rz",24,"phon_sim"
"368","This was terrible to try to remember","low_verbal","Yes","Ny0Ml3uz",24,"phon_sim"
"369","too hard. my mind is tired. i have memory issues","low_verbal","Yes","5WF1GwNy",24,"phon_sim"
"370","tried to make sentences out of the words","high_verbal","Yes","Ps3HVmAH",24,"phon_sim"
"371","tried to picture them like a story","high_verbal","Yes","xnNpmgQR",24,"phon_sim"
"372","Try to make up a story with the words","low_verbal","Yes","gmTxt8dp",24,"phon_sim"
